Timestamp,personality_irl,personality_online,friends_irl,friends_online
4/5/2024 14:00:38,Introvert,Extrovert,4,10
4/5/2024 14:01:22,Introvert,Extrovert,1,1
4/5/2024 14:03:45,Extrovert,Extrovert,3,4
4/5/2024 14:06:18,Extrovert,Extrovert,3,2
4/5/2024 14:06:27,Introvert,Extrovert,5,10
4/5/2024 14:07:32,Introvert,Introvert,7,8
4/5/2024 14:08:11,Introvert,Extrovert,3,8
4/5/2024 14:08:39,Introvert,Extrovert,7,10
4/5/2024 14:16:13,Extrovert,Extrovert,5,10
4/5/2024 14:17:17,Introvert,Introvert,2,2
4/5/2024 14:19:25,Extrovert,Introvert,7,7
4/5/2024 14:23:46,Introvert,Extrovert,4,4
4/5/2024 14:25:09,Introvert,Introvert,4,2
4/5/2024 14:25:56,Introvert,Introvert,10,10
4/5/2024 14:26:43,Introvert,Introvert,3,1
4/5/2024 14:30:28,Introvert,Introvert,3,3
4/5/2024 14:30:44,Introvert,Introvert,1,1
4/5/2024 14:31:14,Extrovert,Extrovert,5,2
4/5/2024 14:32:31,Introvert,Extrovert,3,4
4/5/2024 14:32:36,Introvert,Introvert,5,10
4/5/2024 14:33:05,Introvert,Introvert,1,1
4/5/2024 14:33:15,Introvert,Extrovert,3,4
4/5/2024 14:34:41,Introvert,Extrovert,8,1
4/5/2024 14:34:54,Extrovert,Extrovert,3,3
4/5/2024 14:35:14,Extrovert,Extrovert,5,0
4/5/2024 14:35:30,Introvert,Introvert,9,4
4/5/2024 14:35:39,Introvert,Extrovert,6,4
4/5/2024 14:35:49,Introvert,Introvert,10,10
4/5/2024 14:36:39,Extrovert,Extrovert,5,3
4/5/2024 14:38:07,Introvert,Introvert,10,10
4/5/2024 14:40:58,Introvert,Extrovert,4,4
4/5/2024 14:44:24,Extrovert,Extrovert,4,3
4/5/2024 14:45:34,Introvert,Introvert,4,4
4/5/2024 14:46:13,Introvert,Introvert,5,2
4/5/2024 14:47:09,Introvert,Extrovert,3,3
4/5/2024 14:49:33,Introvert,Introvert,3,3
4/5/2024 14:49:45,Introvert,Introvert,3,2
4/5/2024 14:50:53,Introvert,Extrovert,2,1
4/5/2024 14:55:13,Introvert,Introvert,1,2
4/5/2024 14:58:29,Introvert,Introvert,3,2
4/5/2024 14:58:43,Extrovert,Introvert,6,0
4/5/2024 15:00:27,Extrovert,Extrovert,4,3
4/5/2024 15:01:02,Introvert,Extrovert,5,3
4/5/2024 15:05:22,Introvert,Extrovert,10,10
4/5/2024 15:13:30,Introvert,Extrovert,10,10
4/5/2024 15:14:28,Extrovert,Extrovert,10,10
4/5/2024 15:15:21,Introvert,Extrovert,3,3
4/5/2024 15:16:28,Extrovert,Extrovert,8,8
4/5/2024 15:17:27,Extrovert,Introvert,7,3
4/5/2024 15:17:57,Introvert,Extrovert,7,5
4/5/2024 15:18:07,Introvert,Introvert,1,2
4/5/2024 15:18:12,Introvert,Introvert,7,2
4/5/2024 15:18:36,Introvert,Introvert,4,2
4/5/2024 15:19:59,Extrovert,Extrovert,10,10
4/5/2024 15:22:31,Extrovert,Extrovert,10,10
4/5/2024 15:22:53,Introvert,Introvert,5,5
4/5/2024 15:25:49,Introvert,Extrovert,2,3
4/5/2024 15:26:33,Introvert,Introvert,5,5
4/5/2024 15:31:55,Introvert,Introvert,3,1
4/5/2024 15:37:41,Introvert,Extrovert,2,2
4/5/2024 15:39:32,Introvert,Extrovert,4,10
4/5/2024 15:45:02,Extrovert,Introvert,10,4
4/5/2024 15:48:08,Extrovert,Extrovert,1,1
4/5/2024 15:48:13,Extrovert,Introvert,10,10
4/5/2024 15:48:42,Extrovert,Extrovert,8,10
4/5/2024 15:49:23,Extrovert,Extrovert,5,5
4/5/2024 15:51:25,Introvert,Introvert,3,3
4/5/2024 16:00:22,Introvert,Introvert,2,3
4/5/2024 16:07:02,Introvert,Introvert,1,4
4/5/2024 16:17:38,Extrovert,Extrovert,7,10
4/5/2024 16:19:48,Introvert,Extrovert,5,2
4/5/2024 16:20:21,Introvert,Extrovert,2,3
4/5/2024 16:25:18,Introvert,Extrovert,1,1
4/5/2024 16:27:48,Introvert,Introvert,2,2
4/5/2024 16:36:44,Introvert,Introvert,2,1
4/5/2024 16:49:27,Extrovert,Introvert,5,8
4/5/2024 16:51:51,Introvert,Introvert,2,2
4/5/2024 16:52:01,Introvert,Introvert,6,1
4/5/2024 16:54:08,Introvert,Extrovert,4,4
4/5/2024 16:56:46,Introvert,Introvert,2,6
4/5/2024 16:57:32,Extrovert,Extrovert,10,10
4/5/2024 17:01:39,Introvert,Extrovert,1,5
4/5/2024 17:05:46,Introvert,Extrovert,1,5
4/5/2024 17:17:32,Introvert,Extrovert,7,10
4/5/2024 17:31:40,Extrovert,Extrovert,2,1
4/5/2024 17:32:22,Introvert,Extrovert,5,4
4/5/2024 17:47:28,Introvert,Introvert,1,5
4/5/2024 17:55:00,Introvert,Introvert,4,2
4/5/2024 17:56:33,Extrovert,Extrovert,10,10
4/5/2024 18:18:33,Extrovert,Extrovert,3,7
4/5/2024 18:27:17,Extrovert,Extrovert,10,5
4/5/2024 18:32:11,Introvert,Introvert,3,3
4/5/2024 18:33:26,Introvert,Introvert,4,4
4/5/2024 18:35:09,Introvert,Extrovert,3,4
4/5/2024 18:43:00,Introvert,Extrovert,1,1
4/5/2024 18:46:58,Extrovert,Extrovert,1,1
4/5/2024 19:10:11,Introvert,Extrovert,4,4
4/5/2024 19:40:14,Extrovert,Extrovert,10,10
4/5/2024 19:53:29,Introvert,Introvert,1,2
4/5/2024 20:04:34,Introvert,Introvert,10,1
4/5/2024 20:10:51,Introvert,Introvert,2,2
4/5/2024 20:21:25,Extrovert,Extrovert,6,6
4/5/2024 20:24:33,Extrovert,Extrovert,6,6
4/5/2024 20:36:42,Introvert,Introvert,1,3
4/5/2024 20:40:14,Extrovert,Extrovert,1,4
4/5/2024 20:42:59,Introvert,Introvert,4,2
4/5/2024 20:47:03,Introvert,Introvert,2,1
4/5/2024 20:47:08,Introvert,Introvert,1,3
4/5/2024 20:50:38,Extrovert,Extrovert,2,2
4/5/2024 20:58:55,Introvert,Introvert,4,2
4/5/2024 21:18:07,Introvert,Introvert,4,2
4/5/2024 21:24:12,Introvert,Introvert,3,2
4/5/2024 21:26:16,Extrovert,Introvert,4,10
4/5/2024 22:00:06,Extrovert,Extrovert,4,10
4/5/2024 22:18:50,Introvert,Extrovert,4,10
4/5/2024 22:38:34,Extrovert,Extrovert,4,10
4/5/2024 22:42:14,Extrovert,Introvert,1,1
4/5/2024 23:05:19,Introvert,Introvert,5,5
4/5/2024 23:27:24,Introvert,Introvert,2,1
4/5/2024 23:36:04,Extrovert,Extrovert,2,2
4/5/2024 23:42:02,Introvert,Introvert,4,1
4/6/2024 0:05:17,Introvert,Introvert,6,4
4/6/2024 0:07:18,Introvert,Introvert,4,1
4/6/2024 0:10:08,Introvert,Extrovert,2,5
4/6/2024 0:21:40,Extrovert,Introvert,7,5
4/6/2024 0:22:06,Extrovert,Introvert,5,5
4/6/2024 0:32:36,Introvert,Extrovert,4,2
4/6/2024 0:33:30,Introvert,Introvert,4,5
4/6/2024 0:33:38,Extrovert,Extrovert,2,1
4/6/2024 0:41:18,Extrovert,Introvert,5,3
4/6/2024 0:47:18,Extrovert,Introvert,5,5
4/6/2024 1:01:46,Extrovert,Extrovert,5,10
4/6/2024 1:04:07,Introvert,Introvert,5,5
4/6/2024 1:05:21,Introvert,Extrovert,3,6
4/6/2024 1:07:12,Introvert,Extrovert,2,4
4/6/2024 1:16:41,Introvert,Introvert,3,3
4/6/2024 1:49:09,Extrovert,Extrovert,2,7
4/6/2024 2:23:43,Introvert,Extrovert,3,1
4/6/2024 2:37:09,Extrovert,Extrovert,4,8
4/6/2024 2:53:03,Introvert,Introvert,4,3
4/6/2024 3:10:25,Introvert,Extrovert,10,10
4/6/2024 3:15:20,Introvert,Introvert,1,3
4/6/2024 3:18:31,Introvert,Introvert,3,1
4/6/2024 4:01:32,Introvert,Introvert,3,3
4/6/2024 4:19:56,Extrovert,Introvert,2,2
